Data file name: AMAZE08_AMS_Harvard_MassConcentrations_Martin.csv,,,,,,,,
Version: Sun 31 Jan 2016 12:46:45,,,,,,,,
Contact: Scot Martin,,,,,,,,
Instrument: Harvard aerosol mass spectrometer (AMS),,,,,,,,
Measurement reported: organic; nitrates; ammonium; sulfate; and chloride mass concentrations-Finalized to STP (273.15K-10^5 Pa),,,,,,,,
Data reporting frequency: 5 minutes ,,,,,,,,
Units: ug m^-3.,,,,,,,,
,,,,,,,,
Site,Date_utc,Time_utc,Seconds_since_1Jan1900,Organic,Nitrate,Sulfate,Ammonium,Chloride
,yyyy-mm-dd,hh:mm:ss,Seconds,ug m^-3,ug m^-3,ug m^-3,ug m^-3,ug m^-3
TT34,2008-02-07,00:32:47,3411333167,0.21158,-0.00114272,0.00440575,0.000557228,-0.00113304
TT34,2008-02-07,00:38:00,3411333480,0.142021,0.00242696,0.00624897,0.000804011,-0.00173924
TT34,2008-02-07,00:43:12,3411333792,0.0749638,0.00186215,0.00415197,0.000331082,0.00015173
TT34,2008-02-07,00:58:52,3411334732,0.0623066,-0.0027619,-0.00103854,0.000468628,0.00161649
TT34,2008-02-07,01:32:39,3411336759,0.0701887,-0.00310129,-0.00170456,-1.55E-14,-0.00215605
TT34,2008-02-07,01:37:51,3411337071,0.0883545,-0.000843055,0.00146177,-1.21E-14,-0.000380925
TT34,2008-02-07,01:43:03,3411337383,0.0603333,-0.00223728,0.0013168,-1.32E-14,0.00176355
TT34,2008-02-07,01:48:17,3411337697,-0.0101301,0.00296827,0.00413675,-1.50E-14,-0.00395304
TT34,2008-02-07,01:53:30,3411338010,0.00475488,0.000558859,-0.00252182,-1.36E-14,0.00232449
TT34,2008-02-07,01:58:43,3411338323,-0.0188118,-0.00229766,-0.00177878,-1.60E-14,-0.00132463
TT34,2008-02-07,02:32:47,3411340367,0.223936,0.00259137,0.00496225,-1.21E-14,0.0013246
TT34,2008-02-07,02:38:00,3411340680,0.188715,0.00349755,0.000727657,0.000237586,9.91E-05
TT34,2008-02-07,02:43:12,3411340992,0.126903,0.000144099,0.00508679,0.000136883,0.00203337
TT34,2008-02-07,02:48:24,3411341304,0.0909739,0.000466217,-0.00264754,-1.32E-14,-0.00540772
TT34,2008-02-07,02:53:36,3411341616,0.0787658,-0.00120879,0.000230839,-1.70E-14,-0.00140836
TT34,2008-02-07,02:58:50,3411341930,0.0743726,0.000594335,0.00516793,0.000351116,0.00317148
TT34,2008-02-07,03:32:37,3411343957,0.0739671,-0.0011815,-0.000550727,-1.30E-14,-0.000202981
TT34,2008-02-07,03:37:50,3411344270,0.0238618,0.00138201,0.000625557,-1.45E-14,-0.00418092
TT34,2008-02-07,03:43:02,3411344582,0.0408508,-0.000475404,0.000772361,-1.32E-14,0.00142631
TT34,2008-02-07,03:48:14,3411344894,0.0889038,0.00174559,0.0022694,0.000414913,0.00472271
TT34,2008-02-07,03:53:28,3411345208,0.0653664,0.00256371,0.00175211,-1.31E-14,-0.00183898
TT34,2008-02-07,03:58:41,3411345521,0.0378315,-1.41E-05,-0.000839045,-1.26E-14,-0.00194033
TT34,2008-02-07,04:32:42,3411347562,0.279119,0.00234119,0.00907527,0.0003054,-0.00251444
TT34,2008-02-07,04:37:56,3411347876,0.174487,0.00224111,0.0163944,0.000743903,-0.000565817
TT34,2008-02-07,04:43:09,3411348189,0.121309,0.00218268,0.0109562,0.00127953,-0.000829561
TT34,2008-02-07,04:48:22,3411348502,0.162471,0.000349594,0.0135476,0.00129125,-0.000550421
TT34,2008-02-07,04:53:34,3411348814,0.144143,0.00183251,0.0109177,-1.27E-14,-0.00250439
TT34,2008-02-07,04:58:47,3411349127,0.111064,0.00137735,0.007329,0.000406576,-0.00370883
TT34,2008-02-07,05:32:51,3411351171,0.065598,-0.00352912,-0.00323212,-1.36E-14,0.002322
TT34,2008-02-07,05:38:05,3411351485,0.000716937,-0.000199179,-0.0002129,-1.30E-14,0.00195186
TT34,2008-02-07,05:43:18,3411351798,-0.00321851,-0.00234173,0.00318968,-1.42E-14,-0.000568082
TT34,2008-02-07,05:48:31,3411352111,0.0208575,-0.00132782,0.00272051,-1.20E-14,0.0025955
TT34,2008-02-07,05:53:44,3411352424,-0.0048983,-0.00346919,0.00290972,6.64E-05,0.00234795
TT34,2008-02-07,05:58:56,3411352736,0.0337227,-0.00203316,0.00179579,-1.33E-14,-0.00134732
TT34,2008-02-07,06:32:43,3411354763,0.107621,0.000453951,0.00336629,-1.27E-14,0.000166925
TT34,2008-02-07,06:37:56,3411355076,0.066586,-5.94E-05,0.00285241,-1.37E-14,-0.0018463
TT34,2008-02-07,06:43:09,3411355389,0.0580852,-0.000103571,0.00132155,-1.39E-14,-0.00320535
TT34,2008-02-07,06:48:22,3411355702,0.254447,0.000878443,0.00317948,-1.47E-14,-0.00214539
TT34,2008-02-07,06:53:34,3411356014,-0.00420278,0.00192799,0.00104615,-1.30E-14,-0.0019359
TT34,2008-02-07,06:58:46,3411356326,0.0439449,-3.11E-06,0.00119045,-1.28E-14,0.0013637
TT34,2008-02-07,07:32:50,3411358370,0.033672,-0.00290043,0.000763708,-1.52E-14,0.000404418
TT34,2008-02-07,07:38:02,3411358682,0.0730538,-0.000125223,0.00043312,-1.29E-14,-0.00173275
