"mode","travel_bounds","trips","distance_km","co2e_tons"
"AUTOMOBILE","IN-BOUNDARY","872366376","6461301327","1418362.4023"
"AUTOMOBILE","INBOUND","141177374","4008404325","879910.981"
"AUTOMOBILE","OUTBOUND","142998370","3900892288","856310.3125"
"AUTOMOBILE","TOTAL","1156542120","14370597940","3154583.6957"
"CYCLING","IN-BOUNDARY","16572140","59970432","0"
"CYCLING","INBOUND","1930899","15421022","0"
"CYCLING","OUTBOUND","1832389","14147039","0"
"CYCLING","TOTAL","20335428","89538493","0"
"MOTORCYCLE","IN-BOUNDARY","147901246","881208480","64252.428"
"MOTORCYCLE","INBOUND","45950021","626749851","45698.834"
"MOTORCYCLE","OUTBOUND","44485982","600397999","43777.415"
"MOTORCYCLE","TOTAL","238337249","2108356330","153728.677"
"STANDARD BUS","IN-BOUNDARY","148123935","950579959","874967.758"
"STANDARD BUS","INBOUND","11873005","247380067","227702.657"
"STANDARD BUS","OUTBOUND","12506818","281828799","259411.226"
"STANDARD BUS","TOTAL","172503758","1479788825","1362081.641"
"SUBWAY","IN-BOUNDARY","16725594","182781595","0"
"SUBWAY","INBOUND","3746192","59162759","0"
"SUBWAY","OUTBOUND","3489510","56536832","0"
"SUBWAY","TOTAL","23961296","298481186","0"
"WALKING","IN-BOUNDARY","600121870","448820469","0"
"WALKING","INBOUND","12837411","18890805","0"
"WALKING","OUTBOUND","12254539","18286518","0"
"WALKING","TOTAL","625213820","485997792","0"
