Rainfall - (MM); Year; Country
265.675;1991; Brazil
191.252;1991; Brazil
238.854;1991; Brazil
188.449;1991; Brazil
118.873;1991; Brazil
84.7695;1991; Brazil
66.6732;1991; Brazil
48.699;1991; Brazil
70.8228;1991; Brazil
92.1602;1991; Brazil
139.669;1991; Brazil
158.582;1991; Brazil
232.945;1992; Brazil
227.389;1992; Brazil
228.136;1992; Brazil
161.243;1992; Brazil
94.2374;1992; Brazil
58.4615;1992; Brazil
62.6313;1992; Brazil
54.3506;1992; Brazil
96.2761;1992; Brazil
112.334;1992; Brazil
167.401;1992; Brazil
186.117;1992; Brazil
203.732;1993; Brazil
235.652;1993; Brazil
178.804;1993; Brazil
164.613;1993; Brazil
113.278;1993; Brazil
75.472;1993; Brazil
63.4771;1993; Brazil
57.9194;1993; Brazil
82.9538;1993; Brazil
120.069;1993; Brazil
186.406;1993; Brazil
209.329;1993; Brazil
265.457;1994; Brazil
220.089;1994; Brazil
260.323;1994; Brazil
176.031;1994; Brazil
120.584;1994; Brazil
112.056;1994; Brazil
62.1686;1994; Brazil
56.0615;1994; Brazil
84.8095;1994; Brazil
121.428;1994; Brazil
164.159;1994; Brazil
194.758;1994; Brazil
194.065;1995; Brazil
234.312;1995; Brazil
226.564;1995; Brazil
200.891;1995; Brazil
139.033;1995; Brazil
88.019;1995; Brazil
69.8075;1995; Brazil
42.0385;1995; Brazil
62.971;1995; Brazil
112.924;1995; Brazil
192.302;1995; Brazil
228.109;1995; Brazil
224.417;1996; Brazil
215.971;1996; Brazil
260.55;1996; Brazil
207.893;1996; Brazil
121.166;1996; Brazil
78.835;1996; Brazil
76.1877;1996; Brazil
52.0746;1996; Brazil
77.1525;1996; Brazil
136.477;1996; Brazil
179.881;1996; Brazil
181.523;1996; Brazil
246.932;1997; Brazil
223.66;1997; Brazil
301.95;1997; Brazil
186.827;1997; Brazil
123.638;1997; Brazil
65.8082;1997; Brazil
50.2111;1997; Brazil
53.7223;1997; Brazil
69.5138;1997; Brazil
105.69;1997; Brazil
161.002;1997; Brazil
215.547;1997; Brazil
201.689;1998; Brazil
190.628;1998; Brazil
216.157;1998; Brazil
173.809;1998; Brazil
124.977;1998; Brazil
91.2009;1998; Brazil
62.9909;1998; Brazil
68.0757;1998; Brazil
78.5111;1998; Brazil
129.348;1998; Brazil
189.028;1998; Brazil
207.05;1998; Brazil
248.63;1999; Brazil
207.895;1999; Brazil
225.684;1999; Brazil
177.341;1999; Brazil
144.712;1999; Brazil
85.497;1999; Brazil
62.2152;1999; Brazil
45.0151;1999; Brazil
83.9075;1999; Brazil
112.97;1999; Brazil
175.691;1999; Brazil
215.799;1999; Brazil
248.424;2000; Brazil
258.849;2000; Brazil
259.426;2000; Brazil
203.939;2000; Brazil
131.116;2000; Brazil
80.6119;2000; Brazil
74.0347;2000; Brazil
70.1761;2000; Brazil
106.965;2000; Brazil
105.685;2000; Brazil
181.202;2000; Brazil
217.27;2000; Brazil
207.776;2001; Brazil
201.831;2001; Brazil
231.186;2001; Brazil
163.64;2001; Brazil
135.335;2001; Brazil
92.294;2001; Brazil
69.9056;2001; Brazil
48.4775;2001; Brazil
83.6756;2001; Brazil
132.902;2001; Brazil
177.945;2001; Brazil
232.173;2001; Brazil
274.321;2002; Brazil
215.577;2002; Brazil
215.577;2002; Brazil
191.741;2002; Brazil
152.821;2002; Brazil
81.0081;2002; Brazil
63.698;2002; Brazil
56.1344;2002; Brazil
75.3035;2002; Brazil
115.758;2002; Brazil
141.532;2002; Brazil
235.131;2002; Brazil
218.979;2003; Brazil
233.898;2003; Brazil
224.243;2003; Brazil
171.405;2003; Brazil
134.656;2003; Brazil
86.2865;2003; Brazil
58.5221;2003; Brazil
65.2096;2003; Brazil
85.3208;2003; Brazil
105.474;2003; Brazil
152.578;2003; Brazil
155.336;2003; Brazil
275.218;2004; Brazil
279.715;2004; Brazil
249.953;2004; Brazil
162.854;2004; Brazil
133.053;2004; Brazil
74.7453;2004; Brazil
76.1883;2004; Brazil
51.4091;2004; Brazil
54.1408;2004; Brazil
120.685;2004; Brazil
143.71;2004; Brazil
179.312;2004; Brazil
220.766;2005; Brazil
225.89;2005; Brazil
285.732;2005; Brazil
186.65;2005; Brazil
161.415;2005; Brazil
70.305;2005; Brazil
47.144;2005; Brazil
51.4537;2005; Brazil
71.6992;2005; Brazil
113.066;2005; Brazil
137.595;2005; Brazil
241.65;2005; Brazil
203.852;2006; Brazil
237.058;2006; Brazil
261.471;2006; Brazil
219.675;2006; Brazil
157.874;2006; Brazil
81.0846;2006; Brazil
60.9879;2006; Brazil
46.0967;2006; Brazil
73.7723;2006; Brazil
131.124;2006; Brazil
178.842;2006; Brazil
206.148;2006; Brazil
211.163;2007; Brazil
242.422;2007; Brazil
209.806;2007; Brazil
183.982;2007; Brazil
125.068;2007; Brazil
66.1688;2007; Brazil
69.4399;2007; Brazil
53.1302;2007; Brazil
48.0215;2007; Brazil
111.526;2007; Brazil
165.099;2007; Brazil
213.294;2007; Brazil
273.881;2008; Brazil
236.915;2008; Brazil
276.601;2008; Brazil
205.173;2008; Brazil
134.812;2008; Brazil
77.829;2008; Brazil
55.3164;2008; Brazil
54.6816;2008; Brazil
74.755;2008; Brazil
114.063;2008; Brazil
157.871;2008; Brazil
234.459;2008; Brazil
243.597;2009; Brazil
245.226;2009; Brazil
262.495;2009; Brazil
209.818;2009; Brazil
148.634;2009; Brazil
103.132;2009; Brazil
74.99;2009; Brazil
64.2687;2009; Brazil
79.6446;2009; Brazil
155.088;2009; Brazil
140.53;2009; Brazil
236.77;2009; Brazil
245.466;2010; Brazil
214.736;2010; Brazil
240.907;2010; Brazil
202.919;2010; Brazil
133.099;2010; Brazil
72.7541;2010; Brazil
67.3053;2010; Brazil
40.758;2010; Brazil
57.6373;2010; Brazil
113.856;2010; Brazil
161.147;2010; Brazil
213.956;2010; Brazil
245.482;2011; Brazil
262.373;2011; Brazil
282.616;2011; Brazil
203.862;2011; Brazil
139.706;2011; Brazil
72.2089;2011; Brazil
62.3055;2011; Brazil
52.4179;2011; Brazil
52.0665;2011; Brazil
140.386;2011; Brazil
168.241;2011; Brazil
180.697;2011; Brazil
256.824;2012; Brazil
239.551;2012; Brazil
222.431;2012; Brazil
167.197;2012; Brazil
111.888;2012; Brazil
74.9119;2012; Brazil
62.8351;2012; Brazil
40.8529;2012; Brazil
58.7737;2012; Brazil
86.6818;2012; Brazil
161.262;2012; Brazil
173.289;2012; Brazil
234.139;2013; Brazil
228.47;2013; Brazil
197.588;2013; Brazil
173.695;2013; Brazil
142.058;2013; Brazil
89.6447;2013; Brazil
71.8725;2013; Brazil
60.1136;2013; Brazil
71.143;2013; Brazil
119.35;2013; Brazil
172.05;2013; Brazil
212.597;2013; Brazil
202.178;2014; Brazil
229.507;2014; Brazil
265.345;2014; Brazil
194.447;2014; Brazil
136.029;2014; Brazil
83.6343;2014; Brazil
69.5019;2014; Brazil
49.0319;2014; Brazil
67.9334;2014; Brazil
95.0624;2014; Brazil
171.367;2014; Brazil
185.708;2014; Brazil
198.674;2015; Brazil
197.071;2015; Brazil
250.926;2015; Brazil
194.346;2015; Brazil
148.205;2015; Brazil
71.9657;2015; Brazil
78.7769;2015; Brazil
47.016;2015; Brazil
53.2885;2015; Brazil
80.3109;2015; Brazil
121.426;2015; Brazil
145.08;2015; Brazil
253.296;2016; Brazil
201.924;2016; Brazil
200.512;2016; Brazil
150.809;2016; Brazil
108.458;2016; Brazil
77.1786;2016; Brazil
55.9171;2016; Brazil
54.0275;2016; Brazil
67.9271;2016; Brazil
129.909;2016; Brazil
129.564;2016; Brazil
197.271;2016; Brazil
