date,id,municipality,mean_ozone,max_ozone,min_ozone
2013-05-09,3,ARARAQUARA,11.26086956521739,62,0
2013-05-09,6,CAMPINAS,14.26086956521739,62,0
2013-05-09,22,SAO PAULO,30.26086956521739,91,3
2013-05-09,33,SAO PAULO,25.304347826086957,72,0
2013-05-09,34,SAO PAULO,32,159,2
2013-05-09,54,SANTOS,23.391304347826086,85,0
2013-05-10,3,ARARAQUARA,12.956521739130435,55,0
2013-05-10,6,CAMPINAS,15.08695652173913,55,0
2013-05-10,22,SAO PAULO,41.130434782608695,97,4
2013-05-10,33,SAO PAULO,28.565217391304348,80,0
2013-05-10,34,SAO PAULO,41.130434782608695,138,1
2013-05-10,54,SANTOS,39,110,0
2013-05-11,3,ARARAQUARA,19.695652173913043,88,0
2013-05-11,6,CAMPINAS,31.347826086956523,122,0
2013-05-11,22,SAO PAULO,40.34782608695652,132,3
2013-05-11,33,SAO PAULO,32.26086956521739,113,0
2013-05-11,34,SAO PAULO,41.608695652173914,115,3
2013-05-11,54,SANTOS,34.52173913043478,105,0
2013-05-12,3,ARARAQUARA,16.91304347826087,61,0
2013-05-12,6,CAMPINAS,29.391304347826086,94,0
2013-05-12,22,SAO PAULO,44,115,3
2013-05-12,33,SAO PAULO,26.391304347826086,88,0
2013-05-12,34,SAO PAULO,41.95652173913044,109,3
2013-05-12,54,SANTOS,22.869565217391305,63,0
2013-05-13,3,ARARAQUARA,10.91304347826087,50,0
2013-05-13,6,CAMPINAS,26.695652173913043,91,0
2013-05-13,22,SAO PAULO,33,104,3
2013-05-13,33,SAO PAULO,23,87,0
2013-05-13,34,SAO PAULO,32.608695652173914,110,2
2013-05-13,54,SANTOS,19.17391304347826,72,0
2013-05-14,6,CAMPINAS,22.26086956521739,82,0
2013-05-14,22,SAO PAULO,25.47826086956522,76,3
2013-05-14,33,SAO PAULO,19.652173913043477,60,0
2013-05-14,34,SAO PAULO,24.47826086956522,76,1
2013-05-14,54,SANTOS,17,63,0
2013-05-15,6,CAMPINAS,21.782608695652176,76,0
2013-05-15,22,SAO PAULO,23.652173913043477,72,3
2013-05-15,33,SAO PAULO,16.043478260869566,58,0
2013-05-15,34,SAO PAULO,28.043478260869566,88,0
2013-05-15,54,SANTOS,16.869565217391305,62,0
2013-05-16,3,ARARAQUARA,14.538461538461538,52,1
2013-05-16,6,CAMPINAS,18.347826086956523,64,0
2013-05-16,22,SAO PAULO,33.91304347826087,111,3
2013-05-16,33,SAO PAULO,27.08695652173913,83,0
2013-05-16,34,SAO PAULO,26.565217391304348,63,1
2013-05-16,54,SANTOS,30.52173913043478,89,0
2013-05-17,3,ARARAQUARA,18.52173913043478,32,6
2013-05-17,6,CAMPINAS,11.782608695652174,36,0
2013-05-17,22,SAO PAULO,40,50,28
2013-05-17,33,SAO PAULO,35.52173913043478,42,25
2013-05-17,34,SAO PAULO,37.869565217391305,51,21
2013-05-17,54,SANTOS,39.21739130434783,45,29
2013-05-18,3,ARARAQUARA,17.52173913043478,32,0
2013-05-18,6,CAMPINAS,10.130434782608695,23,0
2013-05-18,22,SAO PAULO,30.26086956521739,43,18
2013-05-18,33,SAO PAULO,27.608695652173914,41,13
2013-05-18,34,SAO PAULO,25.91304347826087,41,11
2013-05-18,54,SANTOS,34.30434782608695,40,17
2013-05-19,3,ARARAQUARA,24.130434782608695,71,0
2013-05-19,6,CAMPINAS,16.52173913043478,41,0
2013-05-19,22,SAO PAULO,31.304347826086957,58,5
2013-05-19,33,SAO PAULO,22.391304347826086,46,0
2013-05-19,34,SAO PAULO,28.782608695652176,58,6
2013-05-19,54,SANTOS,26.08695652173913,47,0
2013-05-20,3,ARARAQUARA,15.73913043478261,76,0
2013-05-20,6,CAMPINAS,26.391304347826086,100,0
2013-05-20,22,SAO PAULO,28.05263157894737,91,3
2013-05-20,33,SAO PAULO,21,88,0
2013-05-20,34,SAO PAULO,25.26086956521739,91,1
2013-05-20,54,SANTOS,20.043478260869566,84,0
2013-05-21,3,ARARAQUARA,17.434782608695652,55,0
2013-05-21,6,CAMPINAS,13.478260869565217,51,0
2013-05-21,22,SAO PAULO,35.34782608695652,58,18
