"mode","travel_bounds","trips","distance_km","co2e_tons"
"AUTOMOBILE","IN-BOUNDARY","584896586","4982589664","1093760.7591"
"AUTOMOBILE","INBOUND","82427160","3181612056","698416.4163"
"AUTOMOBILE","OUTBOUND","82892861","3116175344","684051.9776"
"AUTOMOBILE","TOTAL","750216607","11280377064","2476229.1531"
"CYCLING","IN-BOUNDARY","14309184","44726087","0"
"CYCLING","INBOUND","554460","5548637","0"
"CYCLING","OUTBOUND","553422","5541330","0"
"CYCLING","TOTAL","15417066","55816054","0"
"MOTORCYCLE","IN-BOUNDARY","39125519","324997000","23696.829"
"MOTORCYCLE","INBOUND","10791799","231094185","16850"
"MOTORCYCLE","OUTBOUND","10360215","222409151","16216.739"
"MOTORCYCLE","TOTAL","60277533","778500336","56763.568"
"STANDARD BUS","IN-BOUNDARY","72917599","615553539","566590.422"
"STANDARD BUS","INBOUND","6235979","236409838","217605.036"
"STANDARD BUS","OUTBOUND","6681355","259123316","238511.811"
"STANDARD BUS","TOTAL","85834933","1111086693","1022707.269"
"SUBWAY","INBOUND","6957379","155925441","0"
"SUBWAY","OUTBOUND","7147356","164402044","0"
"SUBWAY","TOTAL","14104735","320327485","0"
"WALKING","IN-BOUNDARY","386438906","266837128","0"
"WALKING","INBOUND","1796807","5896332","0"
"WALKING","OUTBOUND","1747936","5661356","0"
"WALKING","TOTAL","389983649","278394816","0"
