date,mean_ozone,max_ozone,min_ozone
2013-05-09,29.18840579710145,159,0
2013-05-10,36.94202898550725,138,0
2013-05-11,38.072463768115945,132,0
2013-05-12,37.44927536231884,115,0
2013-05-13,29.536231884057973,110,0
2013-05-14,23.202898550724637,76,0
2013-05-15,22.579710144927535,88,0
2013-05-16,29.18840579710145,111,0
2013-05-17,37.79710144927536,51,21
2013-05-18,27.92753623188406,43,11
2013-05-19,27.492753623188406,58,0
2013-05-20,24.56923076923077,91,0
2013-05-21,30.507246376811594,80,0
2013-05-22,19.44927536231884,59,0
2013-05-23,23.159420289855074,43,0
2013-05-24,21.855072463768117,42,4
2013-05-25,32.79710144927536,64,0
2013-05-26,31.956521739130434,81,0
2013-05-27,7.27536231884058,28,0
2013-05-28,3.420289855072464,14,0
2013-05-29,11.81159420289855,29,0
2013-05-30,21.159420289855074,39,0
2013-05-31,23.231884057971016,47,0
2013-06-01,28.594202898550726,99,0
2013-06-02,14.420289855072463,42,0
2013-06-03,18.91304347826087,47,0
2013-06-04,18.565217391304348,58,0
2013-06-05,21.115942028985508,106,0
2013-06-06,22.36231884057971,77,0
2013-06-07,42.36231884057971,101,0
2013-06-08,56.68115942028985,131,0
2013-06-09,48.706896551724135,96,2
2013-06-10,26.761904761904763,77,0
2013-06-11,20.782608695652176,64,0
2013-06-12,28.043478260869566,69,0
2013-06-13,31.691176470588236,105,1
2013-06-14,39.6231884057971,113,1
2013-06-15,45.30434782608695,65,1
2013-06-16,29.91304347826087,56,0
2013-06-17,24.59090909090909,46,0
2013-06-18,25.217391304347824,68,0
2013-06-19,26.18840579710145,86,0
2013-06-20,24.130434782608695,68,0
2013-06-21,33.927536231884055,60,1
2013-06-22,30.768115942028984,73,2
2013-06-23,31.347826086956523,53,3
2013-06-24,17.652173913043477,39,0
2013-06-25,4.391304347826087,26,0
2013-06-26,6.043478260869565,23,0
2013-06-27,8.36231884057971,36,0
2013-06-28,17.27536231884058,71,0
2013-06-29,28.768115942028984,84,0
2013-06-30,21.93846153846154,47,0
2013-07-01,28.137254901960784,49,2
2013-07-02,37.608695652173914,57,14
2013-07-03,26.642857142857142,65,0
2013-07-04,17.391304347826086,57,0
2013-07-05,20.6231884057971,73,0
2013-07-06,25.18840579710145,91,0
2013-07-07,32.666666666666664,98,0
2013-07-08,33.231884057971016,58,0
2013-07-09,35.89855072463768,49,21
2013-07-10,32.11594202898551,65,2
2013-07-11,21.246376811594203,63,0
2013-07-12,25.91304347826087,78,0
2013-07-13,28.202898550724637,90,0
2013-07-14,34.31884057971015,100,0
2013-07-15,28.3768115942029,67,0
2013-07-16,28.47826086956522,79,0
2013-07-17,28.391304347826086,99,0
2013-07-18,31.652173913043477,95,0
2013-07-19,19.159420289855074,72,0
2013-07-20,30.720588235294116,73,0
2013-07-21,39.21739130434783,91,0
2013-07-22,20.536231884057973,56,0
2013-07-23,23.850746268656717,49,5
2013-07-24,27.971014492753625,48,2
2013-07-25,26.73913043478261,53,1
2013-07-26,34.46376811594203,57,0
2013-07-27,36.69565217391305,68,0
2013-07-28,42.68115942028985,147,0
2013-07-29,25.81159420289855,82,0
2013-07-30,20.333333333333332,85,0
2013-07-31,23.985507246376812,113,0
2013-08-01,34.40909090909091,134,0
2013-08-02,36.46376811594203,118,0
2013-08-03,63.56521739130435,155,0
2013-08-04,49.3768115942029,128,0
2013-08-05,34.74626865671642,85,0
2013-08-06,27.652173913043477,69,0
