"mode","travel_bounds","trips","distance_km","co2e_tons"
"AUTOMOBILE","IN-BOUNDARY","3831210979","33261077654","7301356.1245"
"AUTOMOBILE","INBOUND","418838176","14748767738","3237598.2152"
"AUTOMOBILE","OUTBOUND","422356885","14678628579","3222201.5105"
"AUTOMOBILE","TOTAL","4672406040","62688473971","13761155.8502"
"CYCLING","IN-BOUNDARY","113017468","386038048","0"
"CYCLING","INBOUND","4280435","31138111","0"
"CYCLING","OUTBOUND","4416964","32417836","0"
"CYCLING","TOTAL","121714867","449593995","0"
"MOTORCYCLE","IN-BOUNDARY","384522338","3252933780","237184.389"
"MOTORCYCLE","INBOUND","46036217","1031145604","75184.943"
"MOTORCYCLE","OUTBOUND","46778567","1038971258","75755.542"
"MOTORCYCLE","TOTAL","477337122","5323050642","388124.874"
"RAIL","IN-BOUNDARY","155547437","2875408854","0"
"RAIL","INBOUND","66122598","1868814582","0"
"RAIL","OUTBOUND","67803013","1870321022","0"
"RAIL","TOTAL","289473048","6614544458","0"
"STANDARD BUS","IN-BOUNDARY","872636561","6364442872","5858194.5261"
"STANDARD BUS","INBOUND","62533377","1485905211","1367711.51"
"STANDARD BUS","OUTBOUND","60866696","1454282881","1338604.522"
"STANDARD BUS","TOTAL","996036634","9304630964","8564510.5581"
"SUBWAY","IN-BOUNDARY","565110668","5441948030","0"
"SUBWAY","INBOUND","7894525","232181690","0"
"SUBWAY","OUTBOUND","8666196","283583958","0"
"SUBWAY","TOTAL","581671389","5957713678","0"
"WALKING","IN-BOUNDARY","3191517373","2489753410","0"
"WALKING","INBOUND","29986098","56370882","0"
"WALKING","OUTBOUND","29746297","58271369","0"
"WALKING","TOTAL","3251249768","2604395661","0"
